file_id,transcription,duration
102-129232-0052,AND GENIUS OBEYING ITS LAW KNOWS HOW TO PLAY WITH THEM AS A YOUNG CHILD PLAYS WITH GRAYBEARDS AND IN CHURCHES,8.205
102-129232-0053,AND FAR BACK IN THE WOMB OF THINGS SEES THE RAYS PARTING FROM ONE ORB,5.425
102-129232-0054,BY INFINITE DIAMETERS GENIUS WATCHES THE MONAD THROUGH ALL HIS MASKS AS HE PERFORMS THE METEMPSYCHOSIS OF NATURE GENIUS DETECTS THROUGH THE FLY THROUGH THE CATERPILLAR,13.715
102-129232-0055,THROUGH THE GRUB THROUGH THE EGG THE CONSTANT INDIVIDUAL THROUGH COUNTLESS INDIVIDUALS THE FIXED SPECIES THROUGH MANY SPECIES THE GENUS THROUGH ALL GENERA THE STEADFAST TYPE,13.165
102-129232-0056,THROUGH ALL THE KINGDOMS OF ORGANIZED LIFE THE ETERNAL UNITY NATURE IS A MUTABLE CLOUD WHICH IS ALWAYS AND NEVER THE SAME SHE CASTS THE SAME THOUGHT INTO TROOPS OF FORMS,13.625
102-129232-0057,AND WHILST I LOOK AT IT ITS OUTLINE AND TEXTURE ARE CHANGED AGAIN NOTHING IS SO FLEETING AS FORM YET NEVER DOES IT QUITE DENY ITSELF,10.695
102-129232-0058,IN MAN WE STILL TRACE THE REMAINS OR HINTS OF ALL THAT WE ESTEEM BADGES OF SERVITUDE IN THE LOWER RACES YET IN HIM THEY ENHANCE HIS NOBLENESS AND GRACE,11.16
102-129232-0059,A BEAUTIFUL WOMAN WITH NOTHING OF THE METAMORPHOSIS LEFT BUT THE LUNAR HORNS AS THE SPLENDID ORNAMENT OF HER BROWS THE IDENTITY OF HISTORY IS EQUALLY INTRINSIC THE DIVERSITY EQUALLY OBVIOUS,14.46
102-129232-0060,AND WHAT THEY DID WE HAVE THE SAME NATIONAL MIND EXPRESSED FOR US AGAIN IN THEIR LITERATURE IN EPIC AND LYRIC POEMS,7.745
102-129232-0061,AND NEVER TRANSGRESSING THE IDEAL SERENITY LIKE VOTARIES PERFORMING SOME RELIGIOUS DANCE BEFORE THE GODS AND THOUGH IN CONVULSIVE PAIN OR MORTAL COMBAT NEVER DARING TO BREAK THE FIGURE AND DECORUM OF THEIR DANCE,13.71
102-129232-0062,EVERY ONE MUST HAVE OBSERVED FACES AND FORMS WHICH WITHOUT ANY RESEMBLING FEATURE MAKE A LIKE IMPRESSION ON THE BEHOLDER,7.845
102-129232-0063,WILL YET SUPERINDUCE THE SAME SENTIMENT,2.615
102-129232-0064,BUT IS OCCULT AND OUT OF THE REACH OF THE UNDERSTANDING NATURE IS AN ENDLESS COMBINATION AND REPETITION OF A VERY FEW LAWS SHE HUMS THE OLD WELL KNOWN AIR THROUGH INNUMERABLE VARIATIONS,13.865
102-129232-0065,NATURE IS FULL OF A SUBLIME FAMILY LIKENESS,3.315
102-129232-0066,AND THE FURROWS OF THE BROW SUGGESTED THE STRATA OF THE ROCK THERE ARE MEN WHOSE MANNERS HAVE THE SAME ESSENTIAL SPLENDOR AS THE SIMPLE AND AWFUL SCULPTURE ON THE FRIEZES OF THE PARTHENON AND THE REMAINS OF THE EARLIEST GREEK ART,13.91
102-129232-0067,AND THERE ARE COMPOSITIONS OF THE SAME STRAIN TO BE FOUND IN THE BOOKS OF ALL AGES WHAT IS GUIDO'S ROSPIGLIOSI AURORA BUT A MORNING THOUGHT AS THE HORSES IN IT ARE ONLY A MORNING CLOUD IF ANY ONE WILL BUT TAKE PAINS TO OBSERVE THE VARIETY OF ACTIONS,16.265
102-129232-0068,OR DRAW A CHILD BY STUDYING THE OUTLINES OF ITS FORM MERELY,3.61
102-129232-0069,IT IS THE SPIRIT AND NOT THE FACT THAT IS IDENTICAL BY A DEEPER APPREHENSION,5.975
102-129232-0070,IT HAS BEEN SAID THAT COMMON SOULS PAY WITH WHAT THEY DO NOBLER SOULS WITH THAT WHICH THEY ARE AND WHY BECAUSE A PROFOUND NATURE AWAKENS IN US BY ITS ACTIONS AND WORDS BY ITS VERY LOOKS AND MANNERS,14.875
102-129232-0071,SANTA CROCE AND THE DOME OF SAINT PETER'S,2.84
102-129232-0072,SHALL PRONOUNCE YOUR NAME WITH ALL THE ORNAMENT THAT TITLES OF NOBILITY COULD EVER ADD THE TRIVIAL EXPERIENCE OF EVERY DAY IS ALWAYS VERIFYING SOME OLD PREDICTION TO US AND CONVERTING INTO THINGS THE WORDS AND SIGNS,14.48
102-129232-0073,WHICH WE HAD HEARD AND SEEN WITHOUT HEED A LADY WITH WHOM I WAS RIDING IN THE FOREST SAID TO ME THAT THE WOODS ALWAYS SEEMED TO HER TO WAIT,8.605
102-129232-0074,IN THE FIELDS MY COMPANION POINTED OUT TO ME A BROAD CLOUD WHICH MIGHT EXTEND A QUARTER OF A MILE PARALLEL TO THE HORIZON,8.065
102-129232-0075,WHICH IT WAS EASY TO ANIMATE WITH EYES AND MOUTH,2.905
102-129232-0076,WHAT APPEARS ONCE IN THE ATMOSPHERE MAY APPEAR OFTEN AND IT WAS UNDOUBTEDLY THE ARCHETYPE OF THAT FAMILIAR ORNAMENT I HAVE SEEN IN THE SKY A CHAIN OF SUMMER LIGHTNING,11.55
102-129232-0077,WHICH AT ONCE SHOWED TO ME THAT THE GREEKS DREW FROM NATURE WHEN THEY PAINTED THE THUNDERBOLT IN THE HAND OF JOVE,6.395
102-129232-0078,ALONG THE SIDES OF THE STONE WALL WHICH OBVIOUSLY GAVE THE IDEA OF THE COMMON ARCHITECTURAL SCROLL,6.185
102-129232-0079,BY SURROUNDING OURSELVES WITH THE ORIGINAL CIRCUMSTANCES WE INVENT ANEW THE ORDERS AND THE ORNAMENTS OF ARCHITECTURE,7.855
102-129232-0080,STILL BETRAY THE MOUNDS AND SUBTERRANEAN HOUSES OF THEIR FOREFATHERS,4.4
102-129232-0081,SAYS HEEREN IN HIS RESEARCHES ON THE ETHIOPIANS DETERMINED VERY NATURALLY THE PRINCIPAL CHARACTER OF THE NUBIAN EGYPTIAN ARCHITECTURE TO THE COLOSSAL FORM WHICH IT ASSUMED,11.305
102-129232-0082,SO THAT WHEN ART CAME TO THE ASSISTANCE OF NATURE IT COULD NOT MOVE ON A SMALL SCALE WITHOUT DEGRADING ITSELF WHAT WOULD STATUES OF THE USUAL SIZE OR NEAT PORCHES AND WINGS HAVE BEEN,11.6
102-129232-0083,THE GOTHIC CHURCH PLAINLY ORIGINATED IN A RUDE ADAPTATION OF THE FOREST TREES,5.31
102-129232-0084,STILL INDICATE THE GREEN WITHES THAT TIED THEM NO ONE CAN WALK IN A ROAD,4.9
102-129232-0085,ESPECIALLY IN WINTER WHEN THE BARRENNESS OF ALL OTHER TREES SHOWS THE LOW ARCH OF THE SAXONS IN THE WOODS IN A WINTER AFTERNOON ONE WILL SEE AS READILY THE ORIGIN OF THE STAINED GLASS WINDOW,12.64
102-129232-0086,ENTER THE OLD PILES OF OXFORD AND THE ENGLISH CATHEDRALS WITHOUT FEELING THAT THE FOREST OVERPOWERED THE MIND OF THE BUILDER AND THAT HIS CHISEL HIS SAW AND PLANE STILL REPRODUCED ITS FERNS ITS SPIKES OF FLOWERS ITS LOCUST,15.515
102-129232-0087,ELM OAK PINE FIR AND SPRUCE THE GOTHIC CATHEDRAL,6.135
102-129232-0088,AS WELL AS THE AERIAL PROPORTIONS AND PERSPECTIVE OF VEGETABLE BEAUTY IN LIKE MANNER ALL PUBLIC FACTS ARE TO BE INDIVIDUALIZED ALL PRIVATE FACTS ARE TO BE GENERALIZED THEN AT ONCE HISTORY BECOMES FLUID AND TRUE,15.695
102-129232-0089,SO THE PERSIAN COURT IN ITS MAGNIFICENT ERA,3.34
102-129232-0090,TO SUSA IN SUMMER AND TO BABYLON FOR THE WINTER,4.0
102-129232-0091,NOMADISM AND AGRICULTURE ARE THE TWO ANTAGONIST FACTS THE GEOGRAPHY OF ASIA AND OF AFRICA,7.37
102-129232-0092,OR THE ADVANTAGES OF A MARKET HAD INDUCED TO BUILD TOWNS AGRICULTURE THEREFORE WAS A RELIGIOUS INJUNCTION BECAUSE OF THE PERILS OF THE STATE FROM NOMADISM AND IN THESE LATE AND CIVIL COUNTRIES OF ENGLAND AND AMERICA,14.17
102-129232-0093,THESE PROPENSITIES STILL FIGHT OUT THE OLD BATTLE IN THE NATION AND IN THE INDIVIDUAL THE NOMADS OF AFRICA WERE CONSTRAINED TO WANDER BY THE ATTACKS OF THE GAD FLY,11.005
102-129232-0094,FOLLOW THE PASTURAGE FROM MONTH TO MONTH,2.85
102-129232-0095,THE NOMADISM IS OF TRADE AND CURIOSITY A PROGRESS CERTAINLY,4.635
102-129232-0096,SACRED CITIES TO WHICH A PERIODICAL RELIGIOUS PILGRIMAGE WAS ENJOINED OR STRINGENT LAWS AND CUSTOMS TENDING TO INVIGORATE THE NATIONAL BOND,9.48
102-129232-0097,A MAN OF RUDE HEALTH AND FLOWING SPIRITS HAS THE FACULTY OF RAPID DOMESTICATION LIVES IN HIS WAGON AND ROAMS THROUGH ALL LATITUDES AS EASILY AS A CALMUC AT SEA OR IN THE FOREST OR IN THE SNOW HE SLEEPS AS WARM,14.06
102-129232-0098,OR PERHAPS HIS FACILITY IS DEEPER SEATED IN THE INCREASED RANGE OF HIS FACULTIES OF OBSERVATION,6.095
102-129232-0099,AND THIS INTELLECTUAL NOMADISM,2.18
102-129232-0100,IS THAT CONTINENCE OR CONTENT WHICH FINDS ALL THE ELEMENTS OF LIFE IN ITS OWN SOIL AND,5.4399375
102-129232-0101,IF NOT STIMULATED BY FOREIGN INFUSIONS,3.295
102-129232-0102,DOWN TO THE DOMESTIC LIFE OF THE ATHENIANS AND SPARTANS FOUR OR FIVE CENTURIES LATER WHAT BUT THIS,7.49
102-129232-0103,THE GRECIAN STATE IS THE ERA OF THE BODILY NATURE,3.29
102-129232-0104,IN IT EXISTED THOSE HUMAN FORMS WHICH SUPPLIED THE SCULPTOR WITH HIS MODELS OF HERCULES PHOEBUS AND JOVE,7.15
102-129232-0105,SHARPLY DEFINED AND SYMMETRICAL FEATURES WHOSE EYE SOCKETS ARE SO FORMED THAT IT WOULD BE IMPOSSIBLE FOR SUCH EYES TO SQUINT AND TAKE FURTIVE GLANCES ON THIS SIDE AND ON THAT BUT THEY MUST TURN THE WHOLE HEAD THE MANNERS OF THAT PERIOD ARE PLAIN AND FIERCE,15.845
102-129232-0106,THE REVERENCE EXHIBITED IS FOR PERSONAL QUALITIES COURAGE ADDRESS SELF COMMAND JUSTICE STRENGTH SWIFTNESS A LOUD VOICE A BROAD CHEST,10.92
102-129232-0107,COOK BUTCHER AND SOLDIER AND THE HABIT OF SUPPLYING HIS OWN NEEDS EDUCATES THE BODY TO WONDERFUL PERFORMANCES,8.055
102-129232-0108,THROUGHOUT HIS ARMY EXISTS A BOUNDLESS LIBERTY OF SPEECH THEY QUARREL FOR PLUNDER THEY WRANGLE WITH THE GENERALS ON EACH NEW ORDER AND XENOPHON IS AS SHARP TONGUED AS ANY AND SHARPER TONGUED THAN MOST AND SO GIVES AS GOOD AS HE GETS,14.7
102-129232-0109,WHO DOES NOT SEE THAT THIS IS A GANG OF GREAT BOYS WITH SUCH A CODE OF HONOR AND SUCH LAX DISCIPLINE AS GREAT BOYS HAVE THE COSTLY CHARM OF THE ANCIENT TRAGEDY AND INDEED OF ALL THE OLD LITERATURE IS THAT THE PERSONS SPEAK SIMPLY,15.315
102-129232-0110,OUR ADMIRATION OF THE ANTIQUE IS NOT ADMIRATION OF THE OLD BUT OF THE NATURAL,5.255
102-129232-0111,THEY COMBINE THE ENERGY OF MANHOOD WITH THE ENGAGING UNCONSCIOUSNESS OF CHILDHOOD THE ATTRACTION OF THESE MANNERS IS THAT THEY BELONG TO MAN AND ARE KNOWN TO EVERY MAN IN VIRTUE OF HIS BEING ONCE A CHILD,11.71
102-129232-0112,BESIDES THAT THERE ARE ALWAYS INDIVIDUALS WHO RETAIN THESE CHARACTERISTICS A PERSON OF CHILDLIKE GENIUS AND INBORN ENERGY,7.65
102-129232-0113,IN READING THOSE FINE APOSTROPHES TO SLEEP TO THE STARS ROCKS MOUNTAINS AND WAVES I FEEL TIME PASSING AWAY AS AN EBBING SEA I FEEL THE ETERNITY OF MAN THE IDENTITY OF HIS THOUGHT THE GREEK HAD IT SEEMS,14.71
102-129232-0114,AND DO AS IT WERE RUN INTO ONE WHY SHOULD I MEASURE DEGREES OF LATITUDE WHY SHOULD I COUNT EGYPTIAN YEARS THE STUDENT INTERPRETS THE AGE OF CHIVALRY BY HIS OWN AGE OF CHIVALRY AND THE DAYS OF MARITIME ADVENTURE,13.32
102-129232-0115,MERELY ECHOES TO HIM A SENTIMENT OF HIS INFANCY A PRAYER OF HIS YOUTH HE THEN PIERCES TO THE TRUTH THROUGH ALL THE CONFUSION OF TRADITION AND THE CARICATURE OF INSTITUTIONS RARE EXTRAVAGANT SPIRITS COME BY US AT INTERVALS,15.65
102-129232-0116,HENCE EVIDENTLY THE TRIPOD THE PRIEST THE PRIESTESS INSPIRED BY THE DIVINE AFFLATUS JESUS ASTONISHES AND OVERPOWERS SENSUAL PEOPLE THEY CANNOT UNITE HIM TO HISTORY OR RECONCILE HIM WITH THEMSELVES,15.65
102-129232-0117,THEIR OWN PIETY EXPLAINS EVERY FACT EVERY WORD HOW EASILY THESE OLD WORSHIPS OF MOSES OF ZOROASTER OF MENU OF SOCRATES DOMESTICATE THEMSELVES IN THE MIND I CANNOT FIND ANY ANTIQUITY IN THEM,15.135
102-129232-0118,MORE THAN ONCE SOME INDIVIDUAL HAS APPEARED TO ME WITH SUCH NEGLIGENCE OF LABOR AND SUCH COMMANDING CONTEMPLATION A HAUGHTY BENEFICIARY BEGGING IN THE NAME OF GOD AS MADE GOOD TO THE NINETEENTH CENTURY SIMEON THE STYLITE,13.785
102-129232-0119,IS EXPOUNDED IN THE INDIVIDUAL'S PRIVATE LIFE THE CRAMPING INFLUENCE OF A HARD FORMALIST ON A YOUNG CHILD IN REPRESSING HIS SPIRITS AND COURAGE,8.985
102-129232-0120,EXPLAINED TO THE CHILD WHEN HE BECOMES A MAN ONLY BY SEEING THAT THE OPPRESSOR OF HIS YOUTH IS HIMSELF A CHILD TYRANNIZED OVER BY THOSE NAMES AND WORDS AND FORMS OF WHOSE INFLUENCE HE WAS MERELY THE ORGAN TO THE YOUTH,13.465
102-129232-0121,WAS WORSHIPPED AND HOW THE PYRAMIDS WERE BUILT BETTER THAN THE DISCOVERY BY CHAMPOLLION OF THE NAMES OF ALL THE WORKMEN AND THE COST OF EVERY TILE HE FINDS ASSYRIA AND THE MOUNDS OF CHOLULA AT HIS DOOR AND HIMSELF HAS LAID THE COURSES,13.8
102-129232-0122,NEW PERILS TO VIRTUE HE LEARNS AGAIN WHAT MORAL VIGOR IS NEEDED TO SUPPLY THE GIRDLE OF A SUPERSTITION A GREAT LICENTIOUSNESS TREADS ON THE HEELS OF A REFORMATION,10.965
102-129232-0123,DOCTOR SAID HIS WIFE TO MARTIN LUTHER ONE DAY,3.075
102-129232-0124,WHILST NOW WE PRAY WITH THE UTMOST COLDNESS AND VERY SELDOM,3.485
102-129232-0125,HIS OWN SECRET BIOGRAPHY HE FINDS IN LINES WONDERFULLY INTELLIGIBLE TO HIM DOTTED DOWN BEFORE HE WAS BORN ONE AFTER ANOTHER HE COMES UP IN HIS PRIVATE ADVENTURES WITH EVERY FABLE OF AESOP OF HOMER OF HAFIZ,14.055
102-129232-0126,AND VERIFIES THEM WITH HIS OWN HEAD AND HANDS THE BEAUTIFUL FABLES OF THE GREEKS BEING PROPER CREATIONS OF THE IMAGINATION AND NOT OF THE FANCY ARE UNIVERSAL VERITIES WHAT A RANGE OF MEANINGS AND WHAT PERPETUAL PERTINENCE HAS THE STORY OF PROMETHEUS,16.74
102-129232-0127,WITH SOME CLOSENESS TO THE FAITH OF LATER AGES PROMETHEUS IS THE JESUS OF THE OLD MYTHOLOGY HE IS THE FRIEND OF MAN STANDS BETWEEN THE UNJUST JUSTICE OF THE ETERNAL FATHER AND THE RACE OF MORTALS,14.065
102-129232-0128,AND READILY SUFFERS ALL THINGS ON THEIR ACCOUNT,3.065
102-129232-0129,NAMELY A DISCONTENT WITH THE BELIEVED FACT THAT A GOD EXISTS AND A FEELING THAT THE OBLIGATION OF REVERENCE IS ONEROUS,7.59
